Resource_ID,Resource_Type,Region,Start_Time,Usage_Hours,Cost_USD,Department
EC2-1039,EC2,us-east-1,2025-06-18 00:00:00,200,83.45,HR
AZU-1040,Azure VM,ap-south-1,2025-06-12 00:00:00,79,15.19,Sales
EC2-1041,EC2,ap-south-1,2025-05-08 00:00:00,401,125.08,IT
GOO-1042,Google Compute Engine,eu-west-1,2025-05-30 00:00:00,341,63.21,Marketing
RDS-1043,RDS,us-east-1,2025-05-01 00:00:00,331,148.45,HR
AZU-1044,Azure SQL,eu-west-1,2025-05-21 00:00:00,682,69.35,Marketing
S3-1045,S3,ap-south-1,2025-06-29 00:00:00,718,246.01,Marketing
EC2-1046,EC2,eu-west-1,2025-05-04 00:00:00,640,185.02,HR
AZU-1047,Azure VM,ap-south-1,2025-06-04 00:00:00,99,29.07,HR
RDS-1048,RDS,eu-west-1,2025-06-15 00:00:00,328,157.04,Marketing
GOO-1049,Google Compute Engine,ap-south-1,2025-06-29 00:00:00,175,85.87,Finance
AZU-1050,Azure SQL,ap-south-1,2025-05-07 00:00:00,649,243.13,Finance
S3-1051,S3,eu-west-1,2025-05-30 00:00:00,536,265.63,IT
AZU-1052,Azure VM,ap-south-1,2025-06-27 00:00:00,689,249.86,HR
EC2-1053,EC2,eu-west-1,2025-05-15 00:00:00,714,179.47,Sales
EC2-1054,EC2,eu-west-1,2025-05-12 00:00:00,108,7.28,IT
RDS-1055,RDS,ap-south-1,2025-05-25 00:00:00,156,58.84,Sales
S3-1056,S3,eu-west-1,2025-06-07 00:00:00,402,156.79,Finance
AZU-1057,Azure VM,ap-south-1,2025-06-19 00:00:00,525,29.72,HR
GOO-1058,Google Compute Engine,us-east-1,2025-06-28 00:00:00,461,151.23,HR
S3-1059,S3,eu-west-1,2025-06-04 00:00:00,391,67.34,Marketing
AZU-1060,Azure VM,eu-west-1,2025-05-09 00:00:00,335,112.59,HR
AZU-1061,Azure VM,eu-west-1,2025-05-05 00:00:00,157,34.21,HR
AZU-1062,Azure VM,ap-south-1,2025-05-12 00:00:00,581,194.58,Finance
AZU-1063,Azure SQL,us-east-1,2025-05-13 00:00:00,159,78.54,HR
AZU-1064,Azure VM,us-east-1,2025-05-01 00:00:00,276,104.85,Finance
EC2-1065,EC2,eu-west-1,2025-06-03 00:00:00,74,20.27,IT
RDS-1066,RDS,us-east-1,2025-05-30 00:00:00,260,53.59,Finance
AZU-1067,Azure VM,ap-south-1,2025-06-28 00:00:00,382,175.15,IT
EC2-1068,EC2,eu-west-1,2025-06-22 00:00:00,710,160.11,Sales
GOO-1069,Google Compute Engine,eu-west-1,2025-06-09 00:00:00,629,85.1,Marketing
S3-1070,S3,ap-south-1,2025-05-01 00:00:00,186,34.16,HR
GOO-1071,Google Compute Engine,ap-south-1,2025-05-23 00:00:00,548,273.47,IT
AZU-1072,Azure SQL,eu-west-1,2025-06-19 00:00:00,608,267.94,IT
S3-1073,S3,ap-south-1,2025-05-06 00:00:00,694,103.46,Finance
EC2-1074,EC2,us-east-1,2025-06-25 00:00:00,586,186.14,Sales
EC2-1075,EC2,eu-west-1,2025-05-24 00:00:00,255,43.18,Sales
S3-1076,S3,us-east-1,2025-06-23 00:00:00,650,115.84,IT
RDS-1077,RDS,ap-south-1,2025-06-06 00:00:00,324,80.29,IT
AZU-1078,Azure SQL,ap-south-1,2025-05-04 00:00:00,427,24.92,HR
RDS-1079,RDS,eu-west-1,2025-05-19 00:00:00,274,54.02,HR
EC2-1080,EC2,us-east-1,2025-05-25 00:00:00,113,32.69,Finance
EC2-1081,EC2,eu-west-1,2025-06-19 00:00:00,139,17.58,IT
EC2-1082,EC2,us-east-1,2025-06-25 00:00:00,90,40.24,IT
S3-1083,S3,ap-south-1,2025-06-09 00:00:00,133,37.65,Finance
RDS-1084,RDS,us-east-1,2025-05-16 00:00:00,285,15.78,Finance
AZU-1085,Azure SQL,eu-west-1,2025-06-22 00:00:00,482,94.52,Sales
AZU-1086,Azure VM,eu-west-1,2025-06-30 00:00:00,370,170.45,IT
RDS-1087,RDS,us-east-1,2025-05-10 00:00:00,637,75.67,Sales
AZU-1088,Azure SQL,ap-south-1,2025-05-18 00:00:00,326,98.17,IT
AZU-1089,Azure SQL,eu-west-1,2025-06-21 00:00:00,230,44.64,Sales
GOO-1090,Google Compute Engine,ap-south-1,2025-06-18 00:00:00,404,199.78,IT
AZU-1091,Azure SQL,eu-west-1,2025-06-17 00:00:00,303,35.28,Marketing
AZU-1092,Azure VM,eu-west-1,2025-06-30 00:00:00,618,43,Marketing
S3-1093,S3,us-east-1,2025-06-18 00:00:00,257,32.95,Sales
RDS-1094,RDS,eu-west-1,2025-06-04 00:00:00,24,1.55,Marketing
GOO-1095,Google Compute Engine,eu-west-1,2025-05-11 00:00:00,425,22.84,Finance
RDS-1096,RDS,eu-west-1,2025-05-12 00:00:00,619,162.28,Sales
AZU-1097,Azure SQL,us-east-1,2025-05-31 00:00:00,620,181.67,Finance
S3-1098,S3,us-east-1,2025-05-24 00:00:00,248,23.1,HR
S3-1099,S3,us-east-1,2025-05-23 00:00:00,664,103.51,HR
AZU-1100,Azure VM,us-east-1,2025-06-28 00:00:00,107,35.15,IT
AZU-1101,Azure VM,us-east-1,2025-06-01 00:00:00,122,34.96,Sales
EC2-1102,EC2,eu-west-1,2025-05-07 00:00:00,588,256.58,Sales
AZU-1103,Azure SQL,eu-west-1,2025-05-27 00:00:00,634,172.31,Sales
GOO-1104,Google Compute Engine,eu-west-1,2025-06-10 00:00:00,421,33.48,Sales
EC2-1105,EC2,us-east-1,2025-05-15 00:00:00,164,70.31,IT
RDS-1106,RDS,ap-south-1,2025-06-02 00:00:00,65,26.81,Sales
GOO-1107,Google Compute Engine,ap-south-1,2025-05-19 00:00:00,483,131.04,IT
GOO-1108,Google Compute Engine,eu-west-1,2025-06-09 00:00:00,324,22.62,Marketing
AZU-1109,Azure VM,ap-south-1,2025-06-30 00:00:00,438,127.41,IT
AZU-1110,Azure SQL,us-east-1,2025-05-24 00:00:00,535,162.15,Sales
EC2-1111,EC2,ap-south-1,2025-05-28 00:00:00,121,14.2,HR
GOO-1112,Google Compute Engine,ap-south-1,2025-05-29 00:00:00,111,55.01,IT
EC2-1113,EC2,us-east-1,2025-06-05 00:00:00,334,75.99,Sales
EC2-1114,EC2,ap-south-1,2025-05-02 00:00:00,558,149,Marketing
S3-1115,S3,ap-south-1,2025-05-23 00:00:00,382,29.94,Marketing
EC2-1116,EC2,eu-west-1,2025-05-09 00:00:00,558,141.78,HR
AZU-1117,Azure SQL,ap-south-1,2025-06-29 00:00:00,633,226.25,IT
RDS-1118,RDS,us-east-1,2025-06-06 00:00:00,458,69.03,HR
AZU-1119,Azure SQL,us-east-1,2025-06-20 00:00:00,281,139.75,HR
RDS-1120,RDS,eu-west-1,2025-05-18 00:00:00,317,26.91,Marketing
EC2-1121,EC2,eu-west-1,2025-05-29 00:00:00,62,21.97,Marketing
EC2-1122,EC2,eu-west-1,2025-06-30 00:00:00,514,94.86,Finance
RDS-1123,RDS,eu-west-1,2025-06-19 00:00:00,275,119.87,Sales
GOO-1124,Google Compute Engine,eu-west-1,2025-06-30 00:00:00,257,99.32,HR
S3-1125,S3,ap-south-1,2025-05-27 00:00:00,373,99.58,HR
S3-1126,S3,ap-south-1,2025-05-14 00:00:00,508,114.44,Sales
AZU-1127,Azure SQL,eu-west-1,2025-06-09 00:00:00,334,71.38,Sales
AZU-1128,Azure SQL,us-east-1,2025-05-21 00:00:00,150,74.87,Finance
S3-1129,S3,us-east-1,2025-05-15 00:00:00,153,20.99,Sales
AZU-1130,Azure SQL,ap-south-1,2025-05-11 00:00:00,631,151.81,Finance
S3-1131,S3,eu-west-1,2025-06-07 00:00:00,356,56.69,Marketing
GOO-1132,Google Compute Engine,us-east-1,2025-05-17 00:00:00,405,33.7,Finance
GOO-1133,Google Compute Engine,eu-west-1,2025-06-27 00:00:00,369,128.02,Marketing
AZU-1134,Azure SQL,ap-south-1,2025-06-05 00:00:00,449,208.97,Marketing
RDS-1135,RDS,us-east-1,2025-05-17 00:00:00,399,97.69,HR
EC2-1136,EC2,ap-south-1,2025-06-21 00:00:00,481,139.8,Finance
AZU-1137,Azure SQL,eu-west-1,2025-05-10 00:00:00,530,52.27,Sales
AZU-1138,Azure VM,eu-west-1,2025-06-29 00:00:00,34,2.31,HR
GOO-1139,Google Compute Engine,eu-west-1,2025-05-07 00:00:00,195,43.35,Finance
AZU-1140,Azure VM,us-east-1,2025-05-12 00:00:00,85,21.47,Marketing
GOO-1141,Google Compute Engine,us-east-1,2025-06-25 00:00:00,197,11.72,HR
S3-1142,S3,ap-south-1,2025-05-26 00:00:00,235,42.92,Marketing
AZU-1143,Azure VM,us-east-1,2025-06-02 00:00:00,73,25.41,Sales
AZU-1144,Azure VM,ap-south-1,2025-05-14 00:00:00,34,2.04,Sales
RDS-1145,RDS,ap-south-1,2025-06-24 00:00:00,665,127.78,Sales
GOO-1146,Google Compute Engine,ap-south-1,2025-05-16 00:00:00,362,55.59,HR
EC2-1147,EC2,eu-west-1,2025-06-03 00:00:00,198,68.94,HR
AZU-1148,Azure VM,ap-south-1,2025-05-29 00:00:00,669,247.61,Finance
AZU-1149,Azure VM,us-east-1,2025-05-11 00:00:00,225,75.1,IT
RDS-1150,RDS,ap-south-1,2025-06-16 00:00:00,15,1.83,Finance
RDS-1151,RDS,ap-south-1,2025-06-05 00:00:00,262,86.7,Finance
RDS-1152,RDS,eu-west-1,2025-05-23 00:00:00,677,120.37,Sales
S3-1153,S3,us-east-1,2025-06-03 00:00:00,670,69.07,Marketing
S3-1154,S3,us-east-1,2025-06-10 00:00:00,306,55.19,Sales
AZU-1155,Azure SQL,eu-west-1,2025-05-11 00:00:00,367,177.83,IT
S3-1156,S3,us-east-1,2025-06-06 00:00:00,482,102.59,Marketing
AZU-1157,Azure VM,us-east-1,2025-05-18 00:00:00,99,35.02,Finance
S3-1158,S3,us-east-1,2025-06-14 00:00:00,246,121.07,Finance
RDS-1159,RDS,ap-south-1,2025-05-23 00:00:00,611,228.19,Finance
EC2-1160,EC2,ap-south-1,2025-05-26 00:00:00,64,26.65,Marketing
AZU-1161,Azure VM,ap-south-1,2025-05-15 00:00:00,258,103.5,Finance
S3-1162,S3,ap-south-1,2025-06-06 00:00:00,488,145.45,Sales
GOO-1163,Google Compute Engine,eu-west-1,2025-05-01 00:00:00,451,148.06,HR
EC2-1164,EC2,eu-west-1,2025-06-16 00:00:00,299,77.09,Marketing
RDS-1165,RDS,eu-west-1,2025-06-24 00:00:00,123,33.51,Sales
AZU-1166,Azure SQL,us-east-1,2025-06-10 00:00:00,574,91.76,Finance
S3-1167,S3,us-east-1,2025-06-10 00:00:00,352,91.26,Marketing
GOO-1168,Google Compute Engine,ap-south-1,2025-06-06 00:00:00,642,245.13,Finance
GOO-1169,Google Compute Engine,ap-south-1,2025-05-08 00:00:00,501,201.75,Finance
S3-1170,S3,eu-west-1,2025-05-12 00:00:00,551,104.65,Marketing
AZU-1171,Azure VM,eu-west-1,2025-06-09 00:00:00,719,314.56,HR
EC2-1172,EC2,ap-south-1,2025-05-07 00:00:00,639,32.19,Marketing
AZU-1173,Azure VM,ap-south-1,2025-05-08 00:00:00,45,3.83,HR
GOO-1174,Google Compute Engine,ap-south-1,2025-06-04 00:00:00,439,129.41,Finance
S3-1175,S3,us-east-1,2025-06-04 00:00:00,490,147.21,Sales
AZU-1176,Azure SQL,ap-south-1,2025-05-05 00:00:00,77,4.11,Sales
RDS-1177,RDS,ap-south-1,2025-06-11 00:00:00,393,145.72,HR
AZU-1178,Azure VM,ap-south-1,2025-05-28 00:00:00,669,307.23,Marketing
AZU-1179,Azure VM,us-east-1,2025-05-11 00:00:00,225,42.26,Marketing
GOO-1180,Google Compute Engine,eu-west-1,2025-05-05 00:00:00,682,285.26,IT
EC2-1181,EC2,us-east-1,2025-06-16 00:00:00,110,40.26,Marketing
RDS-1182,RDS,ap-south-1,2025-05-04 00:00:00,154,19.3,HR
GOO-1183,Google Compute Engine,us-east-1,2025-05-09 00:00:00,394,76.35,IT
S3-1184,S3,us-east-1,2025-06-29 00:00:00,575,224.85,Sales
S3-1185,S3,us-east-1,2025-05-16 00:00:00,87,25.48,Finance
S3-1186,S3,eu-west-1,2025-05-17 00:00:00,279,101.28,Marketing
EC2-1187,EC2,ap-south-1,2025-05-29 00:00:00,339,34.82,Sales
EC2-1188,EC2,us-east-1,2025-06-19 00:00:00,178,17.03,Sales
AZU-1189,Azure VM,eu-west-1,2025-06-25 00:00:00,597,197.17,Sales
EC2-1190,EC2,eu-west-1,2025-05-26 00:00:00,59,17.62,Marketing
AZU-1191,Azure VM,eu-west-1,2025-05-26 00:00:00,250,35.33,IT
S3-1192,S3,ap-south-1,2025-06-26 00:00:00,689,306.05,HR
GOO-1193,Google Compute Engine,eu-west-1,2025-06-23 00:00:00,131,58.02,Marketing
GOO-1194,Google Compute Engine,us-east-1,2025-05-24 00:00:00,277,98.24,IT
AZU-1195,Azure VM,eu-west-1,2025-05-31 00:00:00,712,213.52,HR
S3-1196,S3,ap-south-1,2025-05-14 00:00:00,703,189.68,HR
EC2-1197,EC2,ap-south-1,2025-06-18 00:00:00,615,295.51,Finance
S3-1198,S3,ap-south-1,2025-05-12 00:00:00,632,130.05,Finance
S3-1199,S3,eu-west-1,2025-06-08 00:00:00,138,67.98,Marketing
