Server_ID,CPU_Usage_%,Memory_Usage_%,Disk_IO_MBps,Network_IO_MBps,Timestamp
EC2-1018,41.12,94.88,47.79,73.06,2025-07-03 00:00:00
EC2-1018,66.82,50.92,29.44,49.63,2025-07-04 00:00:00
EC2-1018,80.82,17.26,2.05,35.91,2025-07-05 00:00:00
EC2-1018,18.86,16.54,28.57,64.04,2025-07-06 00:00:00
EC2-1018,64.21,81.16,20.27,40.15,2025-07-07 00:00:00
RDS-1055,74.97,90.87,7.83,66.44,2025-07-01 00:00:00
RDS-1055,44.3,17.36,49.2,56.25,2025-07-02 00:00:00
RDS-1055,2.18,87.82,21.29,28.26,2025-07-03 00:00:00
RDS-1055,42.06,53.05,19.21,83.5,2025-07-04 00:00:00
RDS-1055,62.29,69.4,10.17,27.09,2025-07-05 00:00:00
RDS-1055,16.44,83.46,32.82,70.61,2025-07-06 00:00:00
RDS-1055,26.33,79.08,43.58,84.13,2025-07-07 00:00:00
EC2-1075,32.06,83.5,46.62,90.26,2025-07-01 00:00:00
EC2-1075,74.26,55.35,31.38,52.56,2025-07-02 00:00:00
EC2-1075,31.2,68.2,44.04,6.46,2025-07-03 00:00:00
EC2-1075,79.58,79.63,5.14,36.87,2025-07-04 00:00:00
EC2-1075,55.18,61.94,43.72,37.23,2025-07-05 00:00:00
EC2-1075,23.9,59.07,27.85,68.25,2025-07-06 00:00:00
EC2-1075,71.34,56.19,31.77,89.32,2025-07-07 00:00:00
RDS-1150,13.97,15.35,1.29,9.82,2025-07-01 00:00:00
RDS-1150,56.95,73.9,14.42,79.83,2025-07-02 00:00:00
RDS-1150,15.77,90.19,33.09,68.96,2025-07-03 00:00:00
RDS-1150,73.69,94.28,36.42,18.41,2025-07-04 00:00:00
RDS-1150,83.46,47.63,4.1,35.89,2025-07-05 00:00:00
RDS-1150,84.12,44.58,18.88,74.55,2025-07-06 00:00:00
RDS-1150,17.22,25.18,23.88,40.79,2025-07-07 00:00:00
GOO-1104,19.7,13.95,46.58,72.19,2025-07-01 00:00:00
GOO-1104,10.83,26.32,33.87,98.7,2025-07-02 00:00:00
GOO-1104,6.07,77.65,42.61,7.81,2025-07-03 00:00:00
GOO-1104,43.65,81.58,30.16,100,2025-07-04 00:00:00
GOO-1104,22,22.88,14.39,60.72,2025-07-05 00:00:00
GOO-1104,60.71,75.94,7.35,64.96,2025-07-06 00:00:00
GOO-1104,19.28,19.8,2.84,32.27,2025-07-07 00:00:00
RDS-1135,65.08,45.42,34.18,95.03,2025-07-01 00:00:00
RDS-1135,44.06,26.53,31.28,92.26,2025-07-02 00:00:00
RDS-1135,47.89,54.01,23.95,11.96,2025-07-03 00:00:00
RDS-1135,35.43,78.63,26.52,4.06,2025-07-04 00:00:00
RDS-1135,54.58,79.57,11.26,56.02,2025-07-05 00:00:00
RDS-1135,71.07,85.01,12.37,64.5,2025-07-06 00:00:00
RDS-1135,18.28,22.09,37.59,27.33,2025-07-07 00:00:00
AZU-1137,67.13,81.29,2.34,66.84,2025-07-01 00:00:00
AZU-1137,18.48,78.11,25.4,77.6,2025-07-02 00:00:00
AZU-1137,56.15,35.98,28.37,61.94,2025-07-03 00:00:00
AZU-1137,9.6,42.5,0.99,58.32,2025-07-04 00:00:00
AZU-1137,47.59,75.56,43.24,9.8,2025-07-05 00:00:00
AZU-1137,72.21,10.92,42.28,47.05,2025-07-06 00:00:00
AZU-1137,29.67,83.34,11.58,61.29,2025-07-07 00:00:00
EC2-1164,63.13,87.14,32.33,31.28,2025-07-01 00:00:00
EC2-1164,1.45,9.8,24.12,15.48,2025-07-02 00:00:00
EC2-1164,13.71,93.01,3.53,89.29,2025-07-03 00:00:00
EC2-1164,36.75,75.19,41.5,96.08,2025-07-04 00:00:00
EC2-1164,66.66,48.95,28.8,98.14,2025-07-05 00:00:00
EC2-1164,76.74,47.23,20.74,40.8,2025-07-06 00:00:00
EC2-1164,8.9,80.46,14.76,40.09,2025-07-07 00:00:00
S3-1076,55.67,37.2,11.65,49.1,2025-07-01 00:00:00
S3-1076,33.24,48.13,36.44,47.76,2025-07-02 00:00:00
S3-1076,25.25,7.08,12.17,93.21,2025-07-03 00:00:00
S3-1076,28.62,11.28,37.61,84.07,2025-07-04 00:00:00
S3-1076,77.78,55.86,4.55,48.13,2025-07-05 00:00:00
S3-1076,4.77,66.87,14.02,91.61,2025-07-06 00:00:00
S3-1076,72.98,29.69,8.85,95.43,2025-07-07 00:00:00
RDS-1079,37.48,44.82,26.57,35.96,2025-07-01 00:00:00
RDS-1079,61.15,82.94,35.38,28.62,2025-07-02 00:00:00
RDS-1079,25.93,47.44,21.46,40.15,2025-07-03 00:00:00
RDS-1079,46.13,18.32,15.86,31.86,2025-07-04 00:00:00
RDS-1079,12.8,79.65,3.04,92.2,2025-07-05 00:00:00
RDS-1079,30.56,63.76,8.86,10.21,2025-07-06 00:00:00
RDS-1079,13.85,78.34,34.17,69.33,2025-07-07 00:00:00
EC2-1197,88.89,36.3,18.15,71.29,2025-07-01 00:00:00
EC2-1197,32.68,50.81,26.81,34.49,2025-07-02 00:00:00
EC2-1197,33.8,22.78,1.43,16.8,2025-07-03 00:00:00
EC2-1197,33.59,86.39,5.06,98.98,2025-07-04 00:00:00
EC2-1197,69.33,7.09,8.65,72.03,2025-07-05 00:00:00
EC2-1197,11.55,40.11,40.69,41.16,2025-07-06 00:00:00
EC2-1197,76.98,73.43,5.34,18.54,2025-07-07 00:00:00
RDS-1038,34.75,21.59,48.32,59.25,2025-07-01 00:00:00
RDS-1038,8.19,69.55,5.52,20.86,2025-07-02 00:00:00
RDS-1038,61.67,37.26,5.05,48.2,2025-07-03 00:00:00
RDS-1038,81.85,62.54,17.39,42.66,2025-07-04 00:00:00
RDS-1038,74.17,38.34,21.49,62.53,2025-07-05 00:00:00
RDS-1038,56.2,61.17,27.78,92.96,2025-07-06 00:00:00
RDS-1038,88.15,57.18,46.86,25.17,2025-07-07 00:00:00
AZU-1024,13.84,41.27,2.69,90.46,2025-07-01 00:00:00
AZU-1024,3.01,74.67,4.89,15.97,2025-07-02 00:00:00
AZU-1024,65.51,77.05,41.73,41.77,2025-07-03 00:00:00
AZU-1024,3.3,62.81,18.57,56.37,2025-07-04 00:00:00
AZU-1024,52.91,48.43,21.88,77.96,2025-07-05 00:00:00
AZU-1024,22.25,92.42,26.7,40.33,2025-07-06 00:00:00
AZU-1024,66.52,12.24,3.07,78.9,2025-07-07 00:00:00
EC2-1122,89.96,22.64,28.69,21.73,2025-07-01 00:00:00
EC2-1122,6,77.79,9.81,40.23,2025-07-02 00:00:00
EC2-1122,4.02,54.7,27.47,76.17,2025-07-03 00:00:00
EC2-1122,46.34,33.12,27.51,34.45,2025-07-04 00:00:00
EC2-1122,3.14,62.59,40.5,46.09,2025-07-05 00:00:00
EC2-1122,15.93,86.04,41.51,19.64,2025-07-06 00:00:00
EC2-1122,13.49,46.93,25.84,34.93,2025-07-07 00:00:00
AZU-1195,87.2,29.09,18.68,97.99,2025-07-01 00:00:00
AZU-1195,56.94,84.52,9.06,78.44,2025-07-02 00:00:00
AZU-1195,63.37,57.44,15.24,95.13,2025-07-03 00:00:00
AZU-1195,5.59,63.16,19.09,20.54,2025-07-04 00:00:00
AZU-1195,12.07,37.43,25.95,92.43,2025-07-05 00:00:00
AZU-1195,28.55,16.01,8.11,99.39,2025-07-06 00:00:00
AZU-1195,52.45,69.61,40.37,4.65,2025-07-07 00:00:00
RDS-1029,1.7,86.84,2.98,54.9,2025-07-01 00:00:00
RDS-1029,49.84,73.93,30.71,90.7,2025-07-02 00:00:00
RDS-1029,53.58,80.55,33.87,70.13,2025-07-03 00:00:00
RDS-1029,22.71,59.56,20.93,82.93,2025-07-04 00:00:00
RDS-1029,42.57,89.82,35.45,2.84,2025-07-05 00:00:00
RDS-1029,1.76,14.04,33.64,98.21,2025-07-06 00:00:00
RDS-1029,68.7,62.99,27.41,63.78,2025-07-07 00:00:00
AZU-1019,42.99,39.98,14.47,34.97,2025-07-01 00:00:00
AZU-1019,8.47,62.72,25.11,4.89,2025-07-02 00:00:00
AZU-1019,25.23,53.44,26.65,19.87,2025-07-03 00:00:00
AZU-1019,66.96,33.33,9.03,54.02,2025-07-04 00:00:00
AZU-1019,33.59,28.29,40.43,57.87,2025-07-05 00:00:00
AZU-1019,18.43,80.15,31.62,6.52,2025-07-06 00:00:00
AZU-1019,6.64,46.46,10.95,65.26,2025-07-07 00:00:00
AZU-1143,75.87,35.47,14.85,84.3,2025-07-01 00:00:00
AZU-1143,18.89,38.91,39.61,75.23,2025-07-02 00:00:00
AZU-1143,86.8,86.12,42.57,7.31,2025-07-03 00:00:00
AZU-1143,10.53,26.47,24.95,43.15,2025-07-04 00:00:00
AZU-1143,37.66,40.7,28.07,92.2,2025-07-05 00:00:00
AZU-1143,12.2,46.93,37.93,7.94,2025-07-06 00:00:00
AZU-1143,62.2,36.45,14.38,13.13,2025-07-07 00:00:00
AZU-1086,3.88,51.76,1.69,72.5,2025-07-01 00:00:00
AZU-1086,60.65,68.36,16.97,9.57,2025-07-02 00:00:00
AZU-1086,82.27,16.26,36.16,77.45,2025-07-03 00:00:00
AZU-1086,77.56,9.17,1.11,27.19,2025-07-04 00:00:00
AZU-1086,23.41,82.02,5.14,97.61,2025-07-05 00:00:00
AZU-1086,64.17,69.16,24.15,50.59,2025-07-06 00:00:00
AZU-1086,49.64,48.56,13.06,25.69,2025-07-07 00:00:00
EC2-1114,5.54,44.57,44.82,75.74,2025-07-01 00:00:00
EC2-1114,63.03,67.99,6.55,61.5,2025-07-02 00:00:00
EC2-1114,54.07,54.77,36.71,95.53,2025-07-03 00:00:00
EC2-1114,57.74,28.65,29.05,42.41,2025-07-04 00:00:00
EC2-1114,77.37,18.63,34.18,54.42,2025-07-05 00:00:00
EC2-1114,30.98,34.12,27.98,5.7,2025-07-06 00:00:00
EC2-1114,40.06,27.4,33.98,61.4,2025-07-07 00:00:00
AZU-1173,25.82,57.26,46.78,19.77,2025-07-01 00:00:00
AZU-1173,66.43,28.94,1.27,29.13,2025-07-02 00:00:00
AZU-1173,57.15,10.64,41.01,8.47,2025-07-03 00:00:00
AZU-1173,14.43,85.83,22.28,73.96,2025-07-04 00:00:00
AZU-1173,86.55,60.41,47.17,69.22,2025-07-05 00:00:00
AZU-1173,55.52,83.53,38,85.31,2025-07-06 00:00:00
AZU-1173,18.54,22.19,1.5,16.83,2025-07-07 00:00:00
RDS-1005,7.28,33.85,6.19,33.9,2025-07-01 00:00:00
RDS-1005,36.57,56.08,10.41,79.25,2025-07-02 00:00:00
RDS-1005,84.23,87.49,44.7,4.31,2025-07-03 00:00:00
RDS-1005,75.35,5.89,4.24,20.75,2025-07-04 00:00:00
RDS-1005,42,18.56,20.75,9.68,2025-07-05 00:00:00
RDS-1005,74.86,58.26,34.19,55.35,2025-07-06 00:00:00
RDS-1005,44.65,84.07,46.15,20.94,2025-07-07 00:00:00
S3-1126,26.14,17.07,19.47,5.02,2025-07-01 00:00:00
S3-1126,53.51,93.57,44.69,55.52,2025-07-02 00:00:00
S3-1126,48.49,70.8,35.04,50.95,2025-07-03 00:00:00
S3-1126,20.23,32.95,43.81,82.28,2025-07-04 00:00:00
S3-1126,10.93,68.94,16.79,47.33,2025-07-05 00:00:00
S3-1126,40.46,24.25,31.58,58.53,2025-07-06 00:00:00
S3-1126,53.98,44.51,40.23,40.4,2025-07-07 00:00:00
AZU-1117,27.18,74.01,20.91,5.18,2025-07-01 00:00:00
AZU-1117,27.38,22.86,2.09,19.63,2025-07-02 00:00:00
AZU-1117,69.96,85.55,44.99,53.26,2025-07-03 00:00:00
AZU-1117,83.97,75.47,13.12,82.18,2025-07-04 00:00:00
AZU-1117,77.28,29.38,43.61,53.56,2025-07-05 00:00:00
AZU-1117,1.59,12.08,15.5,52.79,2025-07-06 00:00:00
AZU-1117,85.76,87.67,6.48,31.77,2025-07-07 00:00:00
S3-1073,78.96,15.46,38.12,33.6,2025-07-01 00:00:00
S3-1073,67.31,7.74,25.69,15.01,2025-07-02 00:00:00
S3-1073,41.71,78.8,1.25,85.24,2025-07-03 00:00:00
